fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.1345648169517517,0.11394942011686447,0.020182715397959145,0.01266095893974735,0.0005650262719617919,0.06812080816697264,0.04402705471945549,291.9229736328125
fold_2,0.14141598343849182,0.11113821427421965,0.02107344166268939,0.013099133969252354,0.0005790852313615657,0.06509068979024366,0.04958558158750722,323.8106994628906
fold_3,0.14097270369529724,0.10656032063041958,0.02046455662173642,0.012262258102702457,0.0005559171730848605,0.0648576822679562,0.055288839195429824,330.9975280761719
average,0.13898450136184692,0.11054931834050123,0.020573571227461653,0.01267411700390072,0.0005666762254694061,0.0660230600750575,0.049633825167464174,315.5770568847656
