fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.13793718814849854,0.22027585141049544,0.01873178064574285,0.01238711072542039,0.000544635596007325,0.06936380123924177,0.051225494009629426,279.0539855957031
fold_2,0.1462496966123581,0.21092782597058968,0.01945686152681925,0.0127018132435501,0.0005609077337348275,0.06798705611431224,0.05817204641124969,315.4067077636719
fold_3,0.1457873433828354,0.19426530947577403,0.018972497561957125,0.011931394308321602,0.0005429113813343351,0.06963069743036499,0.06684721284822322,326.7309875488281
average,0.14332474768161774,0.20848966228561971,0.019053713244839742,0.012340106092430697,0.0005494849036921625,0.06899385159463967,0.058748251089700776,307.0638732910156
