fold,mae,mae_deg,mae_bc,mae_ec,mae_ic,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.13905943163177548,0.148502365896887,0.02127995915348937,0.012413707884247241,0.09685689639450212,0.0005440572102324035,0.06834902118388073,0.05030766422281861,306.564208984375
fold_2,0.14645279085997379,0.13227105873424838,0.022008140985254238,0.013020239550179396,0.10416952048611137,0.0005670241920469361,0.06637041599124674,0.05393217320935701,329.097900390625
fold_3,0.14505799250169235,0.11323362757204783,0.020594458847457607,0.01242661536680918,0.10485066824111293,0.0005527359484689558,0.06675218512774303,0.05411735786887327,326.489990234375
average,0.14352340499781388,0.13133568406772775,0.021294186328733738,0.01262018760041194,0.10195902837390881,0.0005546057835827651,0.06715720743429017,0.05278573176701631,320.7173767089844
