fold,mae,mae_deg,mae_bc,mae_ec,mae_ic,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.15373101830482483,0.22027585141049544,0.019542779643963466,0.014230874721814982,0.01916085450847692,0.0005986461895493776,0.06902804112246391,0.04893116584133078,331.9625244140625
fold_2,0.16334182024002075,0.21092782597058968,0.018473728673469178,0.014534417699965416,0.01769578445152354,0.0006291829719147121,0.06949414265386951,0.062202802737860746,372.0348205566406
fold_3,0.14524705708026886,0.19426530947577403,0.01860672904036806,0.012241003603399995,0.01598155179398036,0.0005594038256484656,0.068305591959213,0.06571437821973675,327.7919616699219
average,0.15410663187503815,0.20848966228561971,0.01887441245260023,0.013668765341726799,0.01761273025132694,0.0005957443290375184,0.0689425919118488,0.058949448932976094,343.9297790527344
