fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.1373907191788449,0.12776254221292746,0.02123226714624701,0.01247105248870312,0.0005582520453269624,0.06700258072148942,0.04562889012231114,310.718505859375
fold_2,0.14289085634730078,0.09648726066636513,0.020691087100612505,0.013853141304001882,0.000604195400255832,0.06749689569837772,0.058897247988481526,343.4739685058594
fold_3,0.1436483133019823,0.09247260463091422,0.020014896295821653,0.013047662299085064,0.0005842312663666115,0.066660913347018,0.06234822982405264,356.4759216308594
average,0.14130996294270934,0.1055741358367356,0.020646083514227056,0.013123952030596688,0.0005822262373164686,0.06705346325562839,0.0556247893116151,336.8894958496094
