fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.13911502063274384,0.14568351237862243,0.021049521956235648,0.012543861197725848,0.0005493695730930587,0.06866833180950742,0.048737047999817464,301.372802734375
fold_2,0.1458776742219925,0.13414879975336122,0.021639118300989312,0.012909830866477609,0.0005603039687078824,0.06776124409169733,0.05080556579479206,316.21209716796875
fold_3,0.14455413818359375,0.1227146528169503,0.020931455731141514,0.012249159451722221,0.0005481744111979802,0.06669713304227647,0.06045401482520607,333.2412414550781
average,0.14318227767944336,0.13418232164964466,0.021206698662788823,0.012567617171975224,0.0005526159843329738,0.0677089029811604,0.05333220953993853,316.9420471191406
