fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.14024856620851686,0.1460230243363487,0.02123966880237359,0.0123348936524436,0.0005440886556214788,0.06836463768987693,0.049113107468280535,318.3582763671875
fold_2,0.14616297591816296,0.1413133515263316,0.02192579029123686,0.01271247897265318,0.0005642069542368849,0.06714092623224287,0.049511617124635185,318.3624267578125
fold_3,0.14637090265750885,0.11401623140680664,0.020736018107969705,0.012477727355712526,0.0005554912934279515,0.06603876384030967,0.05930520364968079,343.6575012207031
average,0.1442608149280629,0.13378420242316233,0.021300492400526717,0.012508366660269768,0.0005545956344287717,0.06718144258747649,0.052643309414198834,326.792724609375
