fold,mae,mae_deg,mae_bc,mae_ec,mae_ic,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.15073278546333313,0.12674729459115525,0.021219716780681224,0.014957377382461586,0.09603159087479536,0.0006287361593144551,0.06789724254549825,0.054237340435405235,341.40911865234375
fold_2,0.16331514716148376,0.13831421713360334,0.022034750610970634,0.015495524709020216,0.1015480593629148,0.0006629630505806802,0.06593924865587039,0.06644736521697385,398.99658203125
fold_3,0.17035114765167236,0.15528164421339002,0.022547819347381558,0.015164146442471677,0.028572332085580934,0.0007353224845673758,0.06723617730919895,0.059685611248331306,407.1955871582031
average,0.16146636009216309,0.1401143853127162,0.021934095579677803,0.01520568284465116,0.07538399410776371,0.0006756738981541704,0.06702422283685587,0.06012343896690347,382.5337829589844
