fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.17745534768875906,0.13839756932456027,0.021422043136963165,0.015681676445989303,0.0008481489156567794,0.06798316798950675,0.0500534550127909,398.2513427734375
fold_2,0.1875956803560257,0.14626730155826248,0.022984584018856773,0.016483373203182196,0.0009170226425925409,0.06986733889131568,0.0792161562035864,499.6121520996094
fold_3,0.18606843641310028,0.13271656697784487,0.022420770086198118,0.016357124715107432,0.0009739853528182489,0.0680579770903911,0.062027676165135964,476.9486083984375
average,0.18370648815262833,0.13912714595355588,0.022275799080672686,0.016174058121426308,0.0009130523036891897,0.06863616132373784,0.06376576246050442,458.2707214355469
