fold,mae,mae_deg,mae_bc,mae_ec,mae_pr,mae_katz,clustering_diff,laplacian_frobenius_distance
fold_1,0.13732415437698364,0.22027585141049544,0.019499778957806767,0.012331814699943447,0.0005310806015776852,0.06983217958070503,0.048156485488555625,294.45025634765625
fold_2,0.14402012526988983,0.21092782597058968,0.019827202433537996,0.012515677161652992,0.0005485336182100217,0.06756543913169381,0.05732869464857307,317.6474914550781
fold_3,0.1431657373905182,0.19426530947577403,0.018477524135220278,0.011747045019263562,0.0005385735473125652,0.07000204301367852,0.06510286023520048,326.4797668457031
average,0.14150334894657135,0.20848966228561971,0.019268168508855012,0.012198178960286667,0.0005393959223667573,0.06913322057535913,0.05686268012410972,312.8591613769531
